stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
Metropolis Healthcare Ltd.,27.14,37.58,38.81,22.32,20.32,27.05,37.39,38.81,22.22,20.28,43.72,48.49,45.73,28.22,23.30,182.78,161.05,138.69,101.20,82.79,182.78,161.05,138.69,101.20,82.79,8.00,8.00,8.00,8.00,13.26,208.17,218.31,159.66,131.40,115.83,56.74,62.75,56.35,39.88,32.91,40.16,51.83,49.26,33.79,29.84,34.94,51.16,48.13,27.65,29.73,27.13,37.57,38.65,22.13,20.22,27.25,28.74,35.29,30.35,28.41,19.28,23.73,30.85,25.71,25.75,16.78,23.43,30.14,21.04,25.66,13.03,17.20,24.20,16.84,17.45,14.84,23.32,27.86,21.86,24.42,17.41,24.74,32.47,30.84,35.15,9.68,14.29,21.16,16.27,19.22,0.09,0.31,0.00,0.00,0.04,0.77,0.98,87.43,96.65,110.15,1.05,1.24,3.27,2.26,2.01,0.89,1.08,3.06,2.13,1.82,5.46,0.00,24.39,38.11,29.58,0.00,21.29,20.69,35.82,65.58,0.00,16.49,17.49,28.09,56.92,0.00,78.71,79.31,64.18,34.42,0.00,83.51,82.51,71.91,43.08,"6,435.29","10,570.68","11,120.04","6,380.34",0.00,6.04,9.46,13.63,9.59,0.00,22.15,32.92,38.61,31.60,0.00,6.00,9.33,14.04,9.79,0.00,0.00,78.70,79.30,64.17,34.41,6.83,12.65,16.16,12.71,0.00,6.00,9.33,14.04,9.79,0.00,0.02,0.02,0.02,0.02,0.00
Motherson Sumi Wiring India Ltd.,1.10,1.30,-9.20,,,1.10,1.30,-9.20,,,1.38,1.63,-8.22,,,3.01,3.53,-7.22,,,3.01,3.53,-7.22,,,0.65,0.85,0.00,,,15.96,17.84,0.00,,,1.82,2.41,-8.06,,,1.54,2.07,-8.06,,,1.48,1.78,-8.22,,,1.10,1.30,-8.22,,,11.38,13.49,0.00,,,9.63,11.62,0.00,,,9.24,9.95,0.00,,,6.90,7.28,0.00,,,36.60,36.84,0.00,,,42.24,47.91,111.63,,,16.80,16.03,"-1,110.81",,,0.28,0.02,-0.98,,,2.59,4.40,0.00,,,1.66,1.65,0.09,,,0.72,0.85,0.09,,,4.33,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,"21,716.27","20,079.31",0.00,,,3.08,3.56,0.00,,,27.02,26.41,0.00,,,3.03,3.61,0.00,,,0.00,0.00,0.00,,,16.07,18.26,0.00,,,3.03,3.61,0.00,,,0.02,0.02,0.00,,
Metro Brands Ltd.,13.74,7.76,,,,13.69,7.73,,,,20.18,12.58,,,,56.41,45.59,,,,56.41,45.59,,,,4.00,2.25,,,,75.51,48.34,,,,27.05,17.00,,,,20.60,12.08,,,,18.34,10.22,,,,13.73,7.65,,,,35.82,35.17,,,,27.28,24.98,,,,24.28,21.14,,,,18.18,15.82,,,,24.34,16.77,,,,24.00,17.85,,,,13.31,9.17,,,,0.00,0.00,,,,0.81,0.68,,,,2.83,3.11,,,,1.58,2.13,,,,0.00,0.00,,,,0.00,34.00,,,,0.00,20.67,,,,0.00,66.00,,,,0.00,79.33,,,,"21,387.18","16,381.67",,,,10.42,12.48,,,,29.09,35.48,,,,10.51,12.81,,,,0.00,65.99,,,,14.07,13.58,,,,10.51,12.81,,,,0.02,0.01,,,
Medplus Health Services Ltd.,0.46,0.50,,,,0.46,0.50,,,,1.75,0.86,,,,95.66,93.28,,,,95.66,93.28,,,,0.00,0.00,,,,17.93,12.21,,,,2.47,1.08,,,,1.18,0.69,,,,0.64,0.47,,,,0.46,0.47,,,,13.76,8.81,,,,6.60,5.63,,,,3.54,3.82,,,,2.59,3.82,,,,0.48,0.50,,,,1.15,0.71,,,,0.43,0.46,,,,0.00,0.00,,,,0.17,0.17,,,,3.14,20.37,,,,3.00,20.25,,,,4.87,4.46,,,,0.00,0.00,,,,0.00,0.00,,,,0.00,0.00,,,,0.00,0.00,,,,"7,678.38","12,044.84",,,,35.89,82.66,,,,260.83,937.93,,,,36.31,82.71,,,,0.00,0.00,,,,6.81,10.83,,,,36.31,82.71,,,,0.00,0.00,,,
Multi Commodity Exchange of India Ltd.,25.51,23.27,36.90,40.98,26.83,25.51,23.27,36.90,40.98,26.83,29.47,27.57,41.07,44.38,29.76,312.88,304.96,309.87,303.24,286.83,312.88,304.96,309.87,303.24,286.83,19.09,17.40,27.60,30.00,20.00,88.08,64.66,67.62,72.64,58.50,37.65,39.57,49.26,50.32,35.09,33.63,35.23,45.02,46.82,32.09,33.60,31.17,44.98,46.78,27.42,25.46,23.23,36.83,40.89,26.76,42.74,61.19,72.85,69.27,59.98,38.18,54.47,66.57,64.46,54.86,38.14,48.20,66.51,64.40,46.87,28.90,35.92,54.46,56.28,45.75,8.13,7.61,11.88,13.48,9.33,10.39,11.09,14.04,14.92,10.88,6.99,6.53,10.53,11.80,8.40,0.00,0.00,0.00,0.00,0.00,0.24,0.18,19.33,20.96,18.38,1.80,4.25,4.62,4.06,5.48,1.80,4.25,4.62,4.06,5.48,0.00,0.00,0.00,0.00,0.00,0.00,118.82,81.46,48.91,63.51,0.00,100.11,73.04,45.06,57.11,0.00,-18.82,18.54,51.09,36.49,0.00,-0.11,26.96,54.94,42.89,"7,718.46","7,195.60","7,709.94","5,749.27","4,077.53",17.18,21.82,22.36,15.52,13.67,40.20,35.66,30.69,22.40,22.78,17.21,21.86,22.37,15.56,13.79,0.00,-18.82,18.53,51.08,36.48,4.85,4.64,4.88,3.73,2.81,17.21,21.86,22.37,15.56,13.79,0.02,0.02,0.02,0.04,0.03
Mazagon Dock Shipbuilders Ltd.,53.19,29.08,23.78,18.29,23.18,53.19,29.08,23.78,18.29,23.18,56.93,32.77,26.74,23.66,25.92,207.13,164.68,144.73,127.98,125.21,207.13,164.68,144.73,127.98,125.21,9.10,8.73,7.24,10.77,4.46,388.08,284.26,200.70,243.19,207.46,74.93,43.05,40.86,42.07,39.81,71.18,39.36,37.90,38.66,37.07,70.87,38.31,31.23,37.59,36.89,53.19,29.08,23.78,20.25,23.18,19.30,15.14,20.35,17.29,19.19,18.34,13.84,18.88,15.89,17.86,18.26,13.47,15.56,15.45,17.78,13.70,10.22,11.84,8.32,11.17,25.67,17.65,16.42,15.82,18.51,30.28,19.60,19.89,19.47,19.62,3.71,2.00,1.94,1.99,2.54,0.00,0.00,0.00,0.00,0.00,0.27,0.21,16.43,23.96,22.78,1.08,1.05,1.06,1.10,1.12,0.78,0.75,0.78,0.82,0.88,0.59,0.00,0.69,1.06,1.23,0.00,30.71,32.37,53.16,19.25,0.00,27.24,28.79,45.50,17.21,0.00,69.29,67.63,46.84,80.75,0.00,72.76,71.21,54.50,82.79,92.69,"-6,647.98","-3,739.98",0.00,0.00,0.01,-1.16,-0.92,0.00,0.00,0.06,-7.66,-4.54,0.00,0.00,1.71,0.84,1.06,0.00,0.00,0.00,69.28,67.62,46.83,80.74,3.20,1.45,1.47,0.00,0.00,1.71,0.84,1.06,0.00,0.00,0.08,0.12,0.11,0.00,0.00
Max Healthcare Institute Ltd.,7.16,3.42,-1.91,-0.05,-0.43,7.15,3.42,-1.91,-0.05,-0.43,8.32,4.44,-0.76,0.01,0.56,72.53,65.07,61.49,53.52,23.95,72.53,65.07,61.49,53.52,23.95,1.00,0.00,0.00,0.00,0.00,19.62,17.83,10.67,1.10,19.41,7.50,5.63,2.77,1.12,1.54,6.33,4.61,1.83,1.06,0.55,5.80,4.16,-1.52,-0.06,-0.26,7.15,3.42,-1.70,-0.06,-0.43,38.23,31.58,25.94,101.65,7.91,32.29,25.85,17.13,96.00,2.83,29.56,23.30,-14.20,-5.23,-1.34,36.45,19.15,-15.95,-4.99,-2.20,9.85,5.24,-2.76,-0.10,-1.78,7.70,6.20,2.57,1.97,1.81,8.24,4.41,-2.30,-0.08,-1.17,0.08,0.05,0.06,0.23,0.29,0.24,0.24,14.43,1.66,53.44,3.26,2.36,3.50,4.15,1.13,3.19,2.28,3.42,4.15,1.08,0.00,0.00,47.97,0.00,67.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,119.63","33,562.61","19,623.68",0.00,0.00,22.11,19.41,19.04,0.00,0.00,57.84,61.45,73.38,0.00,0.00,22.48,19.45,19.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.08,5.33,3.35,0.00,0.00,22.48,19.45,19.31,0.00,0.00,0.02,0.01,-0.01,0.00,0.00
Mastek Ltd.,43.85,27.83,6.67,11.40,12.81,43.07,27.13,6.44,10.82,12.12,47.57,29.82,10.80,15.89,17.76,243.36,200.46,113.13,110.84,108.40,243.36,200.46,113.13,110.84,108.40,19.00,19.00,14.50,8.00,8.50,102.68,85.51,74.14,67.31,79.00,39.48,35.77,20.73,21.52,21.48,35.21,31.63,16.46,16.93,16.44,54.28,31.94,13.45,13.93,16.33,43.30,25.69,6.52,11.31,12.72,38.44,41.83,27.96,31.96,27.19,34.28,36.99,22.19,25.15,20.81,52.85,37.34,18.14,20.69,20.67,42.16,30.03,8.79,16.79,16.10,17.79,12.81,5.76,10.19,11.73,14.17,15.16,13.75,14.17,14.49,15.83,10.79,4.33,8.16,9.75,0.00,0.00,0.00,0.00,0.01,0.40,0.47,49.28,48.60,60.55,1.00,1.73,3.25,4.14,4.20,1.00,1.73,3.25,4.14,4.20,0.00,0.00,0.00,0.00,0.00,0.00,61.63,82.74,114.68,58.60,0.00,53.08,49.98,81.59,41.98,0.00,38.37,17.26,-14.68,41.40,0.00,46.92,50.02,18.41,58.02,"4,698.56","9,949.64","3,056.27",439.44,"1,052.18",14.99,38.76,16.33,2.69,5.55,39.00,92.66,58.40,8.41,20.43,15.01,38.81,16.46,2.81,5.61,0.00,38.36,17.25,-14.68,41.39,6.33,16.56,10.79,1.71,4.09,15.01,38.81,16.46,2.81,5.61,0.03,0.01,0.01,0.06,0.03
Meghmani Finechem Ltd.,85.04,60.84,24.27,26.95,,85.04,60.84,17.26,19.17,,111.27,81.51,41.97,37.61,,257.32,174.72,113.88,89.66,,257.32,174.72,113.88,89.66,,5.00,0.00,0.00,4.10,,526.69,373.27,199.41,146.92,,167.74,123.61,63.42,47.27,,141.52,102.93,45.72,36.61,,125.76,92.28,38.71,33.93,,85.04,60.84,24.27,26.95,,31.84,33.11,31.80,32.17,,26.87,27.57,22.92,24.91,,23.87,24.72,19.41,23.09,,16.14,16.29,12.16,18.34,,33.04,34.82,21.30,30.06,,32.94,26.87,17.92,15.08,,14.52,11.90,6.96,8.79,,0.72,1.36,0.88,1.18,,0.96,0.87,57.19,47.94,,0.65,0.84,0.47,0.50,,0.32,0.55,0.33,0.32,,6.62,7.30,15.36,12.61,,2.93,0.00,0.00,15.06,,2.24,0.00,0.00,10.79,,97.07,0.00,0.00,84.94,,97.76,0.00,0.00,89.21,,"4,780.52","5,010.28",0.00,0.00,,2.18,3.23,0.00,0.00,,6.86,9.76,0.00,0.00,,1.79,2.61,0.00,0.00,,97.06,0.00,0.00,84.93,,3.67,5.57,0.00,0.00,,1.79,2.61,0.00,0.00,,0.09,0.06,0.00,0.00,
Max Financial Services Ltd.,0.40,2.97,3.38,10.12,1.83,0.40,2.97,3.38,10.11,1.83,0.49,3.07,2.99,10.48,1.90,195.98,195.58,192.57,84.61,74.24,195.98,195.58,192.57,84.61,74.24,0.00,0.00,0.00,0.00,0.00,1.68,5.79,8.88,18.36,11.75,0.65,4.37,3.87,15.08,2.91,0.56,4.27,3.76,14.71,2.84,0.56,4.26,3.75,14.71,1.83,0.40,2.97,2.88,10.11,1.83,38.85,75.46,43.56,82.11,24.75,33.48,73.72,42.32,80.11,24.20,33.29,73.65,42.25,80.07,15.59,24.00,51.38,32.38,55.06,15.59,0.20,1.52,1.49,11.95,2.46,0.28,2.17,1.94,16.37,3.81,0.20,1.51,1.48,10.79,2.24,0.00,0.00,0.00,0.00,0.00,0.01,0.03,4.58,19.59,14.42,"1,163.45",658.42,443.54,23.85,11.57,"1,163.45",658.42,443.54,23.85,11.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,856.18","25,987.22","29,653.89","10,387.69","11,709.80",378.07,130.13,96.79,20.99,36.98,973.12,172.45,222.16,25.56,149.39,379.07,130.29,96.79,20.99,36.99,0.00,0.00,0.00,0.00,0.00,3.24,3.85,4.46,4.56,5.86,379.10,130.29,96.80,20.99,36.99,0.00,0.00,0.00,0.03,0.00
Maruti Suzuki India Ltd.,266.46,124.68,140.02,187.06,248.30,266.46,124.68,140.02,187.06,248.30,360.02,216.98,240.44,303.85,348.33,"1,999.40","1,790.93","1,700.89","1,603.87","1,527.86","1,999.40","1,790.93","1,700.89","1,603.87","1,527.86",90.00,60.00,45.00,60.00,80.00,"3,891.49","2,923.70","2,328.89","2,503.66","2,848.35",436.06,248.17,274.56,355.08,449.02,342.57,155.90,174.18,238.33,349.05,336.39,151.73,170.84,233.93,346.54,266.53,124.71,140.06,187.11,248.36,11.20,8.48,11.78,14.18,15.76,8.80,5.33,7.47,9.51,12.25,8.64,5.18,7.33,9.34,12.16,6.84,4.26,6.01,7.47,8.71,13.33,6.96,8.23,11.66,16.25,16.40,8.35,9.74,14.04,21.60,9.67,5.13,6.03,9.03,11.91,0.02,0.01,0.01,0.00,0.00,1.50,1.23,100.37,120.87,136.68,0.58,0.99,1.15,0.75,0.87,0.36,0.78,0.96,0.46,0.64,11.94,12.07,23.06,23.52,25.87,0.00,36.09,42.85,42.76,32.21,0.00,20.74,24.96,26.33,22.97,0.00,63.91,57.15,57.24,67.79,0.00,79.26,75.04,73.67,77.03,"251,616.13","225,654.68","204,616.85","129,575.25","201,456.04",2.14,2.56,2.91,1.71,2.34,19.11,30.11,24.68,12.08,14.86,2.13,2.59,2.95,1.71,2.34,0.00,63.90,57.14,57.23,67.78,4.15,4.22,4.03,2.67,4.37,2.13,2.59,2.95,1.71,2.34,0.03,0.02,0.02,0.04,0.04
Marico Ltd.,9.13,9.02,8.57,7.79,8.76,9.10,9.01,8.56,7.79,8.76,9.98,9.77,9.40,8.68,9.56,28.50,23.64,23.53,22.39,27.05,28.50,23.64,23.53,22.39,27.05,4.50,9.25,7.50,6.75,4.75,57.97,58.14,49.12,45.37,46.29,12.69,11.94,11.63,11.05,10.16,11.84,11.19,10.80,10.18,9.36,11.57,10.95,10.16,9.78,9.17,9.14,9.02,8.57,7.81,8.75,21.89,20.53,23.67,24.36,21.95,20.43,19.24,21.98,22.43,20.21,19.95,18.84,20.68,21.54,19.81,15.76,15.50,17.45,17.20,18.90,32.06,38.14,36.44,34.86,32.35,40.55,45.98,44.22,43.69,33.48,23.16,25.86,24.67,24.34,23.72,0.02,0.03,0.05,0.04,0.04,1.56,1.67,1.47,141.51,125.49,2.18,2.06,2.11,2.34,2.35,1.50,1.26,1.45,1.31,1.28,3.85,4.44,3.29,5.02,4.84,0.00,102.75,87.52,99.37,53.94,0.00,94.84,79.80,89.34,49.39,0.00,-2.75,12.48,0.63,46.06,0.00,5.16,20.20,10.66,50.61,"61,791.30","64,770.85","52,514.50","35,485.65","44,329.25",8.26,8.64,8.29,6.06,7.42,37.75,42.06,35.01,24.88,33.81,8.28,8.66,8.38,6.06,7.46,0.00,-2.75,12.47,0.62,46.05,16.83,21.31,17.49,12.28,12.77,8.28,8.66,8.38,6.06,7.46,0.02,0.02,0.02,0.03,0.03
Macrotech Developers Ltd.,6.34,24.77,3.09,10.94,30.62,6.33,24.74,3.09,10.94,30.62,8.92,24.71,4.83,17.08,34.45,260.88,253.27,115.05,98.69,80.58,260.88,253.27,115.05,109.56,91.46,2.00,0.00,0.00,0.00,0.00,181.29,173.74,149.68,204.98,240.37,43.46,42.73,38.77,48.98,61.37,40.88,41.57,37.03,42.83,57.54,4.03,33.19,3.94,16.54,47.07,6.34,23.54,3.09,10.94,30.62,23.97,24.59,25.90,23.89,25.53,22.54,23.92,24.74,20.89,23.93,2.22,19.10,2.63,8.07,19.58,3.49,13.54,2.06,5.33,12.73,2.42,9.29,2.68,11.08,37.99,13.45,13.61,23.94,33.98,54.69,0.75,3.01,0.33,1.25,3.40,0.81,0.89,3.36,4.32,5.32,0.22,0.23,0.17,23.56,26.71,1.41,1.40,1.05,1.00,0.98,0.30,0.27,0.16,0.14,0.11,0.00,0.00,0.00,0.32,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"53,364.79","63,995.70",0.00,0.00,0.00,6.11,7.65,0.00,0.00,0.00,25.49,31.10,0.00,0.00,0.00,5.13,6.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,4.44,0.00,0.00,0.00,5.13,6.48,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00
Mahindra Lifespace Developers Ltd.,9.78,2.78,-10.17,-44.01,11.41,9.77,2.77,-10.17,-43.90,11.39,10.40,3.18,-8.87,-42.59,12.01,104.27,96.51,281.31,291.32,341.06,104.27,96.51,281.31,291.32,341.06,2.30,2.00,0.00,0.00,6.00,30.51,16.36,17.44,85.64,94.65,2.87,-4.58,-11.55,3.23,18.14,2.24,-4.98,-12.84,1.81,17.54,9.73,1.46,-13.56,-44.75,16.47,9.78,2.78,-10.17,-44.00,11.41,9.40,-27.96,-66.21,3.76,19.16,7.35,-30.41,-73.63,2.11,18.53,31.90,8.90,-77.72,-52.24,17.40,32.05,16.96,-58.28,-51.37,12.05,9.37,2.87,-3.61,-15.10,3.34,2.14,-5.13,-4.55,0.62,5.13,4.79,1.85,-2.56,-11.30,2.41,0.15,0.11,0.08,0.08,0.07,0.17,0.12,4.40,21.99,20.03,1.57,2.03,2.47,2.86,2.52,0.39,0.74,0.70,1.03,1.03,0.00,0.00,0.09,0.48,0.49,0.00,0.00,0.00,-13.63,52.56,0.00,0.00,0.00,-14.08,49.95,0.00,0.00,0.00,113.63,47.44,0.00,0.00,0.00,114.08,50.05,"5,626.25","6,098.72","2,929.96","1,003.48","1,747.88",11.92,24.12,32.69,2.28,3.60,126.83,-86.25,-49.36,60.52,18.77,11.55,24.23,32.65,2.23,3.80,0.00,0.00,0.00,113.63,47.43,3.38,4.11,2.02,0.65,1.05,11.56,24.23,32.65,2.23,3.80,0.03,0.01,-0.02,-0.23,0.03
Manappuram Finance Ltd.,14.96,15.41,20.08,14.58,9.38,14.96,15.41,20.08,14.53,9.37,16.88,17.27,21.90,16.38,10.19,106.10,93.84,81.55,63.00,52.11,106.10,93.84,81.55,63.00,52.11,3.00,3.00,2.00,2.75,2.15,56.73,53.91,61.11,51.02,40.56,39.78,38.98,48.98,38.17,27.34,37.86,37.12,47.14,36.35,26.52,20.16,20.67,26.82,19.88,14.45,14.96,15.41,20.06,14.56,9.38,70.12,72.30,80.14,74.80,67.40,66.74,68.85,77.13,71.23,65.40,35.53,38.34,43.87,38.96,35.62,26.37,28.59,32.82,28.53,23.12,14.10,16.42,24.60,23.11,17.99,34.91,19.75,23.52,24.17,23.98,4.31,4.83,6.61,5.16,4.47,1.59,2.26,2.56,3.29,2.90,0.17,0.17,20.16,18.11,19.37,1.40,2.34,2.83,2.06,2.05,1.40,2.34,2.83,2.06,2.05,0.00,0.00,0.00,0.00,0.00,0.00,19.46,6.22,22.75,22.92,0.00,17.36,5.70,20.21,21.09,0.00,80.54,93.78,77.25,77.08,0.00,82.64,94.30,79.79,78.91,"22,663.20","25,782.55","28,198.18","23,267.45","22,793.25",4.72,5.65,5.45,5.40,6.67,6.73,7.82,6.80,7.21,9.89,2.18,2.11,2.44,1.86,3.07,0.00,80.53,93.77,77.24,77.07,1.17,1.21,1.83,1.50,2.39,2.18,2.11,2.44,1.86,3.07,0.12,0.14,0.13,0.15,0.08
Mahindra & Mahindra Financial Services Ltd.,16.09,8.02,3.03,14.74,25.33,16.08,8.01,3.02,14.71,25.28,17.60,9.05,3.74,16.65,26.30,138.53,126.75,119.41,184.67,177.40,138.53,126.75,119.41,184.67,177.40,6.00,3.60,0.80,0.00,6.50,88.59,78.33,84.87,164.10,141.86,60.93,43.83,42.87,102.23,103.88,59.41,42.80,41.85,100.31,102.90,21.87,11.00,3.43,21.84,38.75,16.09,8.02,2.72,14.73,25.32,68.77,55.95,50.51,62.29,73.22,67.06,54.63,49.30,61.12,72.53,24.68,14.04,4.04,13.30,27.31,18.15,10.23,3.20,8.97,17.85,11.61,6.32,2.27,7.97,14.27,41.78,11.52,11.59,14.83,14.79,2.06,1.31,0.43,1.22,2.32,2.41,3.57,3.98,5.23,4.84,0.13,0.13,0.14,13.63,13.00,1.19,2.48,2.31,2.24,2.72,1.19,2.48,2.31,2.24,2.72,0.00,0.00,0.00,0.00,0.00,0.00,9.99,0.00,0.00,18.86,0.00,8.85,0.00,0.00,18.16,0.00,90.01,0.00,0.00,81.14,0.00,91.15,0.00,0.00,81.84,"67,009.18","71,286.43","79,811.52","67,106.74","77,771.69",6.13,7.38,7.63,6.65,8.92,8.91,13.19,15.11,10.67,12.18,2.62,2.03,2.34,0.90,2.97,0.00,90.00,0.00,0.00,81.13,1.67,1.26,1.67,0.80,2.37,2.62,2.03,2.34,0.90,2.97,0.07,0.05,0.01,0.10,0.06
